PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 2 y 4,manatmaci_m,mntaeralmendros1,R1AD24A,172.28.41.62,2/17,CAMBIADO
Home ADSL Mixto 2 y 4,mangachavezc_m,mntaeralmendros1,R1AD24A,172.28.41.62,2/21,CAMBIADO
Home ADSL Mixto 2 y 4,maccesarulla_m,macmacstarosa1,R1AD24A,172.20.49.254,2/7,CAMBIADO
Home ADSL Mixto 3 y 6,macigsant_m,macmacstarosa1,R1AD24A,172.20.49.254,2/8,CAMBIADO
Home ADSL Mixto 1 y 2,pormeordo_m,porporsanjose1,R1AD24A,172.29.37.254,2/9,CAMBIADO
Internet Home ADSL Mixto 0.5 y 6.1,pormmmoralesg,porporsanjose1,R1AD24A,172.29.37.254,2/19,CAMBIADO
Internet Home ADSL Mixto 0.5 y 4.0,poralcede,porporsanjose1,R1AD24A,172.29.37.254,2/11,CAMBIADO
Home ADSL Mixto 1 y 2,yagjcsanc_m,yagyageloro2,R1AD24A,172.16.110.253,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,yagmfmart_m,yagyageloro2,R1AD24A,172.16.110.253,2/7,CAMBIADO
Home ADSL Mixto 1 y 2,yagmmcobe_m,yagyageloro2,R1AD24A,172.16.110.253,2/4,CAMBIADO
Home ADSL Mixto 1 y 2,yagnsmont_m,yagyageloro2,R1AD24A,172.16.110.253,2/15,CAMBIADO
Home ADSL Mixto 1 y 2,yagaprome_m,yagyageloro2,R1AD24A,172.16.110.253,2/8,CAMBIADO
Home ADSL Nocturno 1024,uiofbecer_n,uioillaeropuerto1,R1AD24A,172.30.252.5,2/10,CAMBIADO
Home ADSL Mixto 512 y 1024,miljrestr_m,milmilmnorte2,R1AD24A,172.16.72.253,2/1,CAMBIADO
Home ADSL Mixto 512 y 1024,milabguevarah1,milmilmnorte2,R1AD24A,172.16.72.253,2/5,CAMBIADO
Home ADSL Mixto 512 y 1024,milmdverag1,milmilmnorte2,R1AD24A,172.16.72.253,2/4,CAMBIADO
Home ADSL Mixto 512 y 2048,milimortegah1,milmilmnorte2,R1AD24A,172.16.72.253,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,plemdsanchezs1,pleplejerusalen1,R1AD24A,10.113.1.254,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,pleafcabr,pleplejerusalen1,R1AD24A,10.113.1.254,2/20,CAMBIADO
Home ADSL Mixto 2 y 4,plerrmora_m,pleplejerusalen1,R1AD24A,10.113.1.254,2/12,CAMBIADO
Home ADSL Mixto 2 y 4,uioweandradeo,uiosnlurbfranciscoA1,R1AD24A,172.30.252.90,2/2,CAMBIADO
Home ADSL Mixto 3 y 6,uiortorres_m,uiosnlurbfranciscoA1,R1AD24A,172.30.252.90,2/19,CAMBIADO
Home ADSL Mixto 1 y 2,aloessara_m,aloaloaloag2,R1AD24A,172.30.253.91,2/11,CAMBIADO
Home ADSL Mixto 1 y 2,alogjtipanc,aloaloaloag2,R1AD24A,172.30.253.91,2/4,CAMBIADO
Home ADSL Mixto 1 y 2,uioweiban,uioarmriverasarmenia1,R1AD24A,172.30.251.88,2/4,CAMBIADO
Residencial Mixto 256 y 512 kbps Z1,uiofgvargasr_m,uioarmriverasarmenia1,R1AD24A,172.30.251.88,2/14,CAMBIADO
Home ADSL Mixto 1 y 2,rioprrodrigp_m,riopinpolicia1,R1AD24A,172.31.200.18,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,riomiguil_m,riopinpolicia1,R1AD24A,172.31.200.18,2/8,CAMBIADO
Home ADSL Mixto 1 y 2,riovaherrerag1,riopinpolicia1,R1AD24A,172.31.200.18,2/7,CAMBIADO
Home ADSL Mixto 1 y 2,riolaguevarap1,riopinpolicia1,R1AD24A,172.31.200.18,2/12,CAMBIADO
Home ADSL Mixto 1 y 2,mchhrllum_m,mchmchbpichincha1,R1AD24A,172.30.253.50,2/10,CAMBIADO
Home ADSL Mixto 2 y 4,mcheoguti_m,mchmchbpichincha1,R1AD24A,172.30.253.50,2/9,CAMBIADO
Home ADSL Mixto 1 y 2,stdjaguev_m,stdclnquevedo1,R1AD24A,172.30.253.75,2/23,CAMBIADO
Home ADSL Mixto 1 y 2,stdjoburgosp1,stdclnquevedo1,R1AD24A,172.30.253.75,2/22,CAMBIADO
Home ADSL Mixto 2 y 4,stdjemeloa_m,stdclnquevedo1,R1AD24A,172.30.253.75,2/11,CAMBIADO
Home ADSL Mixto 2 y 4,uiofmnico,uionpmsantafe1,R1AD24A,172.30.252.118,2/15,CAMBIADO
Home ADSL Mixto 512 y 1536,uiofmpasto_m3,uionpmsantafe1,R1AD24A,172.30.252.118,2/11,CAMBIADO
Home ADSL Mixto 3 y 6,gyeavzamorav1,gyealbalboradauno1,R1AD24A,172.27.112.254,2/1,CAMBIADO
